And my son says, for what it’s worth, that he won’t do that again.;E meu filho diz, se serve de consolo, que ele não vai fazer isso de novo.
Your future will not go down the toilet, “Mr. Ayala said quietly.”;Seu futuro não irá pelo ralo, “Mr. Ayala disse em baixo tom.”
I am starting to feel that my 30 years of work will go down the toilet.;Eu estou começando a achar que meus 30 anos de trabalho irão por água abaixo.
Who knows? Maybe in two weeks it will go down the toilet.;Quem sabe? Talvez em duas semanas isso vai por água abaixo.
The economy in this country is going down the toilet, ” announced Amy.”;A economia neste país está indo pelo ralo, “anunciou Amy.”
If you look at New Jersey, it is going down the toilet. So we thought there was nowhere to move.;Se você olhar pra New Jersey, [ela] está indo por água abaixo. Então nós pensamos que não havia pra onde se mudar.
I can’t handle this anymore and my life is going down the toilet.;Eu não consigo lidar com mais isso e minha vida está indo pelo ralo.
Playing in a comedy is a far cry from playing a criminal in a mystery.;Atuar em uma comédia é muito diferente de interpretar um criminoso em (um filme de) mistério.
This flat is a far cry from the house they had before.;Este apartamento é muito diferente da casa que eles tinham antes.
It was a far cry from what he had expected.;Isso foi muito diferente do que ele tinha esperado.
The hotel’s royal suite is a far cry from the poverty of his home country.;A suíte real do hotel é muito diferente da pobreza de seu país natal.
Lama’s upbringing was a far cry from his current life as an animal rights activist.;A criação(educação) de Lama foi muito diferente de sua vida atual como ativista do direito dos animais.
For Mrs Bulloch, 30, her role as shop manager is a far cry from her previous job as an air hostess.;Para a Sra. Bulloch de 30 anos, seu cargo como gerente de loja é muito diferente de seu antigo emprego como aeromoça.
This is the fifth generation of the Sonata and it is a far cry from the first generation model I found so tempting.;Esta é a quinta geração do Sonata e é muito diferente do modelo da primeira geração que eu achava tão atraente.
All this luxury was a far cry from the poverty of his childhood.;Todo esse luxo era muito diferente da pobreza de sua infância.
It was a far cry from what her life had been like up until the Fire had broken out.;Isso era muito diferente do que a vida dela tinha sido até quando o incêndio aconteceu.
It was a far cry from the old way of running schools.;Foi/era muito diferente da maneira antiga de se administrar escolas.
They would be better off in a cheaper apartment.;Eles estariam melhor em um apartamento mais barato.
We’d all be better off if we were in Florida.;Nós todos estaríamos melhores se estivéssemos na Flórida.
I know I’d be better off in a warmer climate.;Eu sei que eu estaria melhor em um clima mais quente.
I think you’d be better off if you bought a new car and didn’t try to repair your old one.;Eu acho que você estaria melhor se você tivesse comprado um carro novo e não tentado consertar o seu velho.
You would be better off taking the train instead of driving.;Você estaria melhor pegando o trem em vez de dirigir.(Aqui uma tradução mais natural seria: Seria melhor se você pegasse o trem em vez de dirigir)
I felt better off after the rise in stock prices.;Eu me senti melhor depois da alta no preço das ações.
I know you’re unhappy that the relationship ended, but you’re better off without him.;Eu sei que você está triste que o relacionamento acabou, mas você está melhor sem ele.
People in this country are far better off than they were ten years ago.;As pessoas neste país estão muito melhores do que estavam dez anos atrás.
Obviously we’re better off now that we’re both working.;Obviamente nós estamos melhores agora que nós dois estamos trabalhando.
He’d be better off working for a bigger company.;Ele estaria melhor trabalhando para uma empresa maior.
I rely on my co-driver to be on the ball.;Eu conto com o meu co-piloto para estar atento.
I didn’t sleep well last night and I’m not really on the ball today.;Eu não dormi bem ontem a noite e eu não estou muito alerta hoje.(Não estou antenado, de olhos abertos)
This guy is really on the ball.;Esse cara está realmente ligado/antenado. 
If you were on the ball, this wouldn’t have happened.;Se você estivesse ligado, isto não teria acontecido.
Their staff seems to be really on the ball, able to get projects done on time.;A equipe deles parece estar realmente ligada, capaz de terminar projetos no prazo.
My brother is always on the ball, so it’s hard to trick him or catch him unawares.;Meu irmão está sempre de olhos abertos, então é difícil enganá-lo ou pegá-lo despreparado.
Sally was on the ball when she noticed the clients boredom and quickly switched her presentation.;Sally estava ligada/alerta quando ela notou o tédio dos clientes e rapidamente mudou sua apresentação.
If you don’t get on the ball, you’ll be fired.;Se você não ficar ligado, você será demitido.
That was fast. Someone out here was on the ball.;Isso foi rápido. Alguém aqui estava ligado.
The tests show your students don’t have much on the ball.;As provas mostram que seus alunos não são muito inteligentes.(Não tem muitas habilidades com relação aos temas das provas)
The new manager has a lot on the ball.;O novo gerente é muito competente.
Both John and Mary have a lot on the ball. They should go far.;Tanto John quanto Mary são muito competentes/inteligentes. Eles devem ir longe.
I think I’d do better in school if I had more on the ball. I learn slowly.;Eu acho que eu me sairia melhor na escola se eu fosse mais inteligente. Eu aprendo vagarosamente.
We are nearly broke and need money for medicine. We are in dire straits.;Nós estamos quase duros e precisamos de dinheiro para (comprar) remédios. Nós estamos em maus lençóis.
Officials in Washington say the peace process is in dire straits.;As autoridades em Washington dizem que o processo de paz está em maus lençóis.
He’s been out of work for eight months, and his family is in dire financial straits.;Ele está desempregado há oito meses e sua família está em apuros.
I can’t believe that the plane is out of fuel, and I’m afraid now that all of the passengers are in dire straits.;Eu não posso acreditar que o avião está sem combustível, e eu temo que agora todos os passageiros estejam em maus lençóis.
These kids are in dire straits, and the schools are doing nothing to help them!;Estas criança estão em apuros e as escolas não estão fazendo nada para ajudá-las.
The earthquake and the drought left the region in dire straits for a long time.;Os terremoto e a seca deixaram a região em maus lençóis por muito tempo.
I am totally broke and need help to buy some food for my children. We are in dire straits.;Eu estou totalmente duro e preciso de ajuda para comprar alguma comida para os meus filhos. Nós estamos em maus lençóis.
I realize they’re all in dire straits down there and they really need a lot of money, but aren’t our children more important than their pocketbooks?;Eu percebo que eles estão em apuros lá e que eles realmente precisam muito dinheiro, mas as nossas crianças não são mais importantes que as carteiras deles?
Last night everything burned in the factory of a successful business man. Now he is in dire straits.;Ontem a noite tudo pegou fogo na fábrica de um homem de negócios bem sucedido. Agora ele está em maus lençóis.
Well, after all, she’s in dire straits at the moment: homeless, husbandless, and expecting. In that state you do stupid things.;Bom, no fim das contas, ela está em maus lençóis no momento: sem teto, sem marido e esperando. Nesse estado você faz coisas estúpidas.
You’ve been in a bad mood all morning. What’s eating you?;Você está de mal humor a manhã toda. Que bicho te mordeu?(Note que aqui a pessoa não demostra somente preocupação com algo, mas está de mal humor, irritada e, provavelmente, irritando outros com sua atitute.)
Henry’s girlfriend looked annoyed with him, so he finally asked, “What’s eating you?”;A namorada de Henry parecia irritada com ele, então ele finalmente perguntou, “o que está te incomodando?”.
The teacher asked her student, “What’s eating you?” after he pouted and complained throughout the entire class period.;O professor perguntou ao seu aluno, “Que bicho te mordeu?” Depois que ele ficou amuado e reclamou durante todo o período de aula.
Karis couldn’t help but ask Jared what was eating him after he hadn’t said a word the entire car ride home.;Karis não pôde deixar de perguntar a Jared o que estava incomodando ele depois de ele não ter dito uma palavra durante todo percurso de carro para casa.
What’s eating you?  You’ve snapped at me twice and had a frown on your face ever since we left the mall.;Que bicho te mordeu? Você agiu com ignorância duas vezes comigo e estava com a cara franzida desde que nós saímos do shopping.
You’re biting your nails again like you are nervous about something.  What’s eating you?;Você está roendo as unhas de novo como se estivesse preocupada com algo. O que tá pegando?
The babysitter couldn’t get the little boy to laugh or smile about anything.  She finally asked, “What’s eating you?”;A babá não conseguia fazer o garotinho sorrir ou rir de nada. Ela finalmente perguntou, “Que bicho te mordeu?”.
Helena knew her husband’s meeting didn’t go well, but she didn’t know why, so she finally asked what was eating him.;Helena sabia que a reunião de seu marido não tinha ido bem, mas ela não sabia porque, então ela finalmente perguntou o que estava incomodando ele.
What’s eating you?  You haven’t even taken one bite of your ice cream or smiled since we got to the festival.;O que tá acontecendo? Você não comeu nem um pouco do seu sorvete ou sorriu desde que nós chegamos ao festival.
I couldn’t help but notice that you seem to be a little sad about something. Can I ask what’s eating you?;Eu não pude deixar de notar que você parece estar um pouco triste com alguma coisa. Posso te perguntar o que está de incomodando?
It seems like everyone has forgotten the rules to the game, so let’s re-read them and get back to square one.;Parece que todo mundo se esqueceu das regras do jogo, então vamos relê-las e voltar à estaca zero.
I think we have gotten a little bit lost, so let’s get back to square one and go to the place where we started.;Eu acho que nós ficamos um pouco perdidos, então vamos voltar à estaca zero e ir para o lugar onde começamos.
Jana’s artwork has started to look a little too blue, so she decided to buy new paints and get back to square one with her colors.;O trabalho artístico de Jana começou a parecer um pouco azul demais, então ela decidiu comprar novas tintas e voltar à estaca zero.
Julianna wanted to get back to square one with her diet, so she went to the store to buy a variety of fruits and vegetables.;Juliana queria voltar ao começo de sua dieta, então ela foi na loja para comprar uma variedade de frutas e vegetais.
After a few months of not feeling that close to one another, Stacey and Bill went on a romantic weekend getaway to get back to square one with their relationship.;Depois de alguns meses sem se sentir tão perto um do outro, Stacey e Bill foram para uma viagem romântica de fim de semana para voltar à estaca zero de sua relação.
Three years into the research project, the scientists decided to get back to square one by reviewing what their end goal was.;Três anos dentro do projeto de pesquisa, os cientistas decidiram voltar à estaca zero revisando o qual era o seu objetivo final.
The baseball team lost 5 games in a row, so they decided to get back to square one by going over the basic throwing and hitting motions in practice.;O time de baseball perdeu 5 jogos seguidos, então eles decidiram voltar à estaca zero revisando os movimentos básicos de jogar e bater em prática.
The principal wanted to get back to square one with student behavior, so he called a meeting with all the teachers to remind them of their expectations.;O diretor queria voltar à estaca zero com o comportamento de alunos, então ele convocou uma reunião com todos os professores para lembrá-los de suas expectativas.
After an hour of searching for her keys, Sharisse decided to get back to square one and look in the place she first set her keys down.;Depois de uma hora procurando por suas chaves, Sharisse decidiu voltar à estaca zero e olhar no local onde ela colocou suas chaves primeiro.
Mom and Dad were upset that the house was a mess, so they wanted to get back to square one and remind everyone what their chores and responsibilities were.;A mamãe e o papai estava chateados que a casa estava uma bagunça, então eles queriam voltar à estaca zero e lembrar todo mundo quais eram seus deveres e responsabilidades.
It serves you right to get detention since you skipped class three times this week.;É bem feito pra você ficar de castigo já que você matou aula três vezes essa semana.
After four weeks of showing up late to work, it serves Joe right to have his bonus taken away.;Depois de quatro semanas aparecendo atrasado para trabalhar, é bem feito pro Joe ter seu bônus retirado.
My mom warned him not to sip the hot chocolate yet, so it serves him right that he burnt his tongue.;Minha mãe o avisou para não beber ainda o chocolate quente, então é bem feito pra ele que ele queimou sua língua.
Callan wanted to go to the concert with his friends, but it serves him right to be grounded since he didn’t do his chores.;Callan queria ir para o show com seus amigos, mas é bem feito pra ele ficar de castigo já que ele não fez seus deveres.
It serves her right to get a demotion because she hasn’t worked as hard as many of the other people in her department.;É bem feito pra ela ser rebaixada, porque ela não trabalhou duro como muitas das pessoas em seu departamento.
It seemed like the visiting team wasn’t playing fairly, so it serves them right that they didn’t win the game.;Parecia que o time visitante não estava jogando justamente, então é bem feito pra eles que eles não ganharam o jogo.
Jamie never locks his bicycle when he takes it to town like I told him to, so it serves him right that someone stole his front tire.;Jamie nunca tranca sua bicicleta quando leva ela para a cidade como eu disse para ele, então bem feito pra ele que alguém roubou seu pneu da frente.
It serves Camille right that she couldn’t sleep last night after I told her not to drink coffee so late.;Bem feito pra Camille que ela não conseguiu dormir noite passada depois que eu disse para ela não beber café tão tarde.
Cameron didn’t wear a coat like I suggested, so it serves her right that she was cold during the soccer match.;Cameron não usou um casaco como eu sugeri, então é bem feito pra ela que ela ficou gripada durante a partida de futebol.
Leanna didn’t want to study that hard for her test, so it serves her right that she didn’t make a good grade.;Leanna não queria estudar tanto para sua prova, então é bem feito pra ela que ela não conseguiu um boa nota.
The young mother could tell that the little boy didn’t like his birthday present, because it was written all over his face.;A jovem mãe podia deduzir que o garotinho não gostou de seu presente de aniversário porque dava pra ver na cara dele.
The criminal had it written all over his face; he was definitely guilty.;Estava na cara do criminoso que ele era culpado.
Even though he said it was delicious, it was written all over Joel’s face that he didn’t like the meal his father had prepared.;Embora ele tenha dito que estava delicioso, dava pra ver na cara de Joel que ele não gostou da refeição que seu pai tinha preparado.
It was written all over George’s face that he had forgotten to prepare for his presentation at work this morning.;Estava na cara de George que ele tinha esquecido de se preparar para sua apresentação no trabalho esta manhã.
Mr. Hayes wanted to punish Logan for playing a joke on his brother, but it was written all over his face that he thought it was kind of funny.;O Sr. Hayes queria punir Logan por pregar uma peça em seu irmão, mas estava na cara dele que ele achou meio engraçado.
Kayla didn’t want to be mean to her boyfriend, but it was written all over her face that she didn’t like the gift he had given her.;Kayla não queria ser malvada com seu namorado, mas estava na cara dela que ela não gostou do presente que ele tinha dado para ela.
Even though Sam’s parents didn’t say anything about his being late coming home, he could tell they were mad because it was written all over their faces.;Embora os pais de Sam não tenham dito nada sobre sua vinda tarde para casa, ele podia imaginar que eles estavam bravos porque dava pra ver pela cara deles.
I tried not to act sad when Jake told me he couldn’t come to my recital, but I know I had disappointment written all over my face.;Eu tentei não agir com tristeza quando Jake me contou que ele não conseguia ir para o recital, mas eu sei que dava pra ver a frustração na minha cara.
It was written all over the young boy’s face that he was excited to see the pretty girl walk into the shop.;Estava na cara do jovem garoto que ele estava empolgado para ver a garota bonita entrar na loja.
When Mrs. Bates asked Jim where his homework was, it was written all over his face that he hadn’t done it.;Quando a Sra. Bates perguntou ao Jim onde estava seu dever de casa, estava na cara dele que ele não tinha feito.
Leila is always late even though we ask her to show up on time, because a leopard can’t change her spots.;Leila está sempre atrasada embora peçamos a ela para aparecer na hora, porque pau que nasce torto, morre torto.
A leopard can’t change his spots, and Jeff will never be that good a sports.;Pau que nasce torto nunca se endireita e Jeff nunca será tão bom nos esportes.
Even though Mr. Kyle has tried to get Mrs. Kyle to like fishing many times, it never works. I guess a leopard can’t change her spots.;Embora o Sr. Kyle tenha tentado fazer a Sra. Kyle gostar de pescar muitas vezes, nunca funciona. Eu acho que pau que nasce torto, morre torto.
Samantha has always been a pessimistic person, and I guess she always will be because a leopard can’t change her spots.;Samantha sempre foi um pessoa pessimista, e eu acho que ela sempre será porque pau que nasce torno, nunca se endireita.
A leopard can’t change his spots, and Eduardo will never want to eat vegetables, even though his mother cooks them so well.;Pau que nasce torto, morre torto, e Eduardo nunca irá querer comer legumes embora sua mãe os cozinhe tão bem.
His wife always tells him it’s bad for his health, but Frank will never stop smoking, because a leopard can’t change his spots.;A esposa dele sempre diz a ele que isso é ruim para sua saúde, mas Frank nunca irá parar de fumar, porque pau que nasce torto nunca se endireita.
Justin’s dog will always bark when the mailman walks past, even though Justin has trained him not to. I guess a leopard can’t change his spots.;O cachorro do Justin sempre (irá) latir quando o carteiro passa, embora Justin tenha o treinado para não (fazer isso). Eu acho que pau que nasce torto, morre torto.
A leopard can’t change his spots, and Lily will always be a loud talker, even when people warn her that she is in a quiet space.;Pau que nasce torto, nunca se endireita e Lily sempre irá falar alto, mesmo quando as pessoas a avisam que ela está em um lugar calmo/silencioso.
Mrs. Kramer has always taken a long time to get ready in the morning, no matter what Mr. Kramer says because a leopard can’t change her spots.;A Sra. Kramer sempre levou muito tempo para se arrumar de manhã, não importa o que Mr. Kramer diga; pois pau que nasce torto, morre torto.
After 35 years of marriage, Ada realized that Jerry will always be messy. Maybe a leopard can’t really ever change his spots.;Depois de 35 anos de casamento, Ada percebeu que Jerry  sempre será bagunceiro. Talvez pau que nasce torno realmente morre torto.
After three hours of working on the leaky pipe, Josh decided to throw in the towel and try again later.;Depois de três horas de trabalho no vazamento do cano, Josh decidiu jogar a toalha e tentar novamente mais tarde.
Jamison made three batches of burnt cookies before she threw in the towel and decided to buy a new oven.;Jamison fez três fornadas e cookies queimados antes que ela jogasse a toalha e decidisse comprar um forno novo.
Harry decided to throw in the towel after he asked Larissa to go out to dinner three times without getting a “yes.”;Harry decidiu jogar a toalha depois que ele chamou Larissa para sair pra jantar três vezes sem conseguir um “sim”.
When it started pouring rain for the second time, Mr. Kim threw in the towel on his gardening for the day.;Quando começou a chover pela segunda vez, o Sr. Kim desistiu de sua jardinagem por aquele dia.
Jason threw in the towel after he hit 200 golf balls and could not get even one of them to go straight.;Jason jogou a toalha depois que ele bateu 200 bolas de golf e não conseguiu fazer nenhuma delas ir certa.
When the 5th team member called to say they couldn’t come to the game, the basketball team decided to throw in the towel and forfeit.;Quando o 5º membro da equipe ligou para dizer que ele não poderia vir para o jogo, o time de basquete decidiu jogar a toalha e desistir.
Julie tried to light over 10 matches without succeeding, so she finally threw in the towel and went to find the lighter.;Julie tentou acender mais de 10 fósforos sem sucesso, então ela finalmente jogou a toalha e foi achar o isqueiro.
The artist had been working on the painting for three weeks, but finally threw in the towel when she felt it still wasn’t turning out the way she hoped.;O artista tinha estado trabalhando na pintura por três semanas, mas finalmente jogou a toalha quando ela sentiu que a pintura ainda não estava saindo do jeito que ela esperava.
Owen tried to get his friends to come to the concert with him, but threw in the towel after all 6 of them said they couldn’t make it.;Owen tentou fazer seus amigos irem ao show com ele, mas jogou a toalha depois de todos os 6 dizerem que não conseguiriam ir.
Why don’t you throw in the towel now, as it’s been over 2 hours and no one has picked up the phone at Customer Service?;Por que você joga a toalha agora, já que faz mais de 2 horas e ninguém atendeu o telefone no atendimento ao cliente?
